model,rag_mode,config,dataset,label,tp,tn,fp,fn,precision,recall,f1,mcc,balanced_accuracy
DeepSeek,examples,raw_10call_majority,AmazonHelp,Account,0,18,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AmazonHelp,Alexa,0,18,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AmazonHelp,Apologize,7,10,1,1,0.875,0.875,0.875,0.7840909090909091,0.8920454545454546
DeepSeek,examples,raw_10call_majority,AmazonHelp,Bad Support,1,17,0,2,1.0,0.3333333333333333,0.5,0.5461186812727502,0.6666666666666666
DeepSeek,examples,raw_10call_majority,AmazonHelp,Delivery,5,13,0,2,1.0,0.7142857142857143,0.8333333333333333,0.7867957924694432,0.8571428571428572
DeepSeek,examples,raw_10call_majority,AmazonHelp,Echo,1,17,0,2,1.0,0.3333333333333333,0.5,0.5461186812727502,0.6666666666666666
DeepSeek,examples,raw_10call_majority,AmazonHelp,Investigate Issue,5,9,2,3,0.7142857142857143,0.625,0.6666666666666666,0.45361105256925455,0.7215909090909092
DeepSeek,examples,raw_10call_majority,AmazonHelp,Kindle,0,20,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AmazonHelp,Order Cancellation,0,19,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AmazonHelp,Packaging,0,19,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AmazonHelp,Prime,1,13,0,6,1.0,0.14285714285714285,0.25,0.3126409456585232,0.5714285714285714
DeepSeek,examples,raw_10call_majority,AmazonHelp,Provide URL,13,6,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,AmazonHelp,Provide delivery date,1,17,0,1,1.0,0.5,0.6666666666666666,0.6871842709362768,0.75
DeepSeek,examples,raw_10call_majority,AmazonHelp,Refer to specialist team,2,17,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,AmazonHelp,Refund,0,20,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AmazonHelp,Replacement,0,20,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AmazonHelp,Request to call by phone,3,16,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,AmazonHelp,Request to not send personal details,1,18,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,AmazonHelp,Request to reach out by chat,2,17,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,AmazonHelp,Return,1,18,0,1,1.0,0.5,0.6666666666666666,0.6882472016116853,0.75
DeepSeek,examples,raw_10call_majority,AppleSupport,Battery,4,25,0,2,1.0,0.6666666666666666,0.8,0.7856742013183861,0.8333333333333333
DeepSeek,examples,raw_10call_majority,AppleSupport,Investigate issue,0,11,0,16,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Mac,0,28,0,3,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Provide URL,13,11,0,3,1.0,0.8125,0.896551724137931,0.7989949043284676,0.90625
DeepSeek,examples,raw_10call_majority,AppleSupport,Provide device model,3,25,0,3,1.0,0.5,0.6666666666666666,0.6681531047810609,0.75
DeepSeek,examples,raw_10call_majority,AppleSupport,Provide system version,3,21,0,7,1.0,0.3,0.4615384615384615,0.47434164902525694,0.65
DeepSeek,examples,raw_10call_majority,AppleSupport,Recommend backing up,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Recommend updating,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Refer to specialist team,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Refund,2,29,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,AppleSupport,Request DM,0,15,0,12,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Request country,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Request device model,0,24,0,3,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Request device restart,0,26,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Request iOS version,0,19,0,8,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Restart device,0,28,0,3,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Software/App,0,21,0,10,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,TV,0,31,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,Unresponsive/Freezing Device,3,26,0,2,1.0,0.6,0.7499999999999999,0.7464200272921789,0.8
DeepSeek,examples,raw_10call_majority,AppleSupport,Update,4,16,1,10,0.8,0.2857142857142857,0.4210526315789473,0.3069966278984953,0.6134453781512605
DeepSeek,examples,raw_10call_majority,AppleSupport,iPad,0,31,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,AppleSupport,iPhone,8,18,3,2,0.7272727272727273,0.8,0.761904761904762,0.642034105174945,0.8285714285714285
DeepSeek,examples,raw_10call_majority,SpotifyCares,Account,0,29,0,6,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Advertisement,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,App,1,26,0,8,1.0,0.1111111111111111,0.19999999999999998,0.2914915440650687,0.5555555555555556
DeepSeek,examples,raw_10call_majority,SpotifyCares,Billing/Payment,1,28,0,6,1.0,0.14285714285714285,0.25,0.3429971702850177,0.5714285714285714
DeepSeek,examples,raw_10call_majority,SpotifyCares,Family Subscription,0,34,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Hulu,0,34,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Login,0,31,0,4,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Logout,0,33,0,2,0.0,0.0,0.0,0.0,0.5
