message_id,activity,label
18165,Provide URL,0
1616282,Provide URL,0
27879,Provide URL,0
15444,Provide URL,0
21872,Provide URL,0
18683,Provide URL,1
422978,Provide URL,1
234553,Provide URL,0
15443,Provide URL,0
152179,Provide URL,0
1260823,Provide URL,0
1607888,Provide URL,0
71905,Provide URL,0
14298,Provide URL,0
80516,Provide URL,1
86214,Provide URL,0
231306,Provide URL,0
464298,Provide URL,0
436404,Provide URL,0
232826,Provide URL,0
2230333,Provide URL,0
18160,Provide URL,0
17672,Provide URL,1
1545446,Provide URL,1
2559,Provide URL,0
1772321,Provide URL,0
534204,Provide URL,0
15445,Provide URL,1
2490587,Provide URL,0
11036,Provide URL,0
742408,Provide URL,1
583479,Provide URL,0
616,Provide URL,0
2558,Provide URL,0
86213,Provide URL,0
2230334,Provide URL,0
2490588,Provide URL,0
86212,Provide URL,1
535800,Provide URL,0
436399,Provide URL,1
46565,Provide URL,1
27880,Provide URL,0
5805,Provide URL,0
10659,Provide URL,0
1406114,Provide URL,0
45545,Provide URL,1
232825,Provide URL,0
14300,Provide URL,0
583481,Provide URL,1
436403,Provide URL,0
57474,Provide URL,0
46567,Provide URL,0
422977,Provide URL,1
18685,Provide URL,0
1097366,Provide URL,0
231305,Provide URL,0
1745,Provide URL,0
318645,Provide URL,0
1406115,Provide URL,0
21491,Provide URL,0
437336,Provide URL,1
15446,Provide URL,1
225339,Provide URL,0
3733,Provide URL,0
786787,Provide URL,0
16425,Provide URL,1
21861,Provide URL,0
20040,Provide URL,0
2555,Provide URL,0
21859,Provide URL,0
183676,Provide URL,0
534207,Provide URL,0
15447,Provide URL,0
13558,Provide URL,1
1097367,Provide URL,1
5806,Provide URL,0
18161,Provide URL,0
14292,Provide URL,1
2590380,Provide URL,1
233782,Provide URL,1
18165,Request to not send personal details,0
1616282,Request to not send personal details,0
27879,Request to not send personal details,0
15444,Request to not send personal details,0
21872,Request to not send personal details,0
18683,Request to not send personal details,0
422978,Request to not send personal details,0
234553,Request to not send personal details,0
15443,Request to not send personal details,0
152179,Request to not send personal details,0
1260823,Request to not send personal details,0
1607888,Request to not send personal details,0
71905,Request to not send personal details,0
14298,Request to not send personal details,0
80516,Request to not send personal details,0
86214,Request to not send personal details,0
231306,Request to not send personal details,0
464298,Request to not send personal details,0
436404,Request to not send personal details,0
232826,Request to not send personal details,0
2230333,Request to not send personal details,0
18160,Request to not send personal details,0
17672,Request to not send personal details,0
1545446,Request to not send personal details,0
2559,Request to not send personal details,0
1772321,Request to not send personal details,0
534204,Request to not send personal details,0
15445,Request to not send personal details,0
2490587,Request to not send personal details,0
11036,Request to not send personal details,0
742408,Request to not send personal details,0
583479,Request to not send personal details,0
616,Request to not send personal details,0
2558,Request to not send personal details,0
86213,Request to not send personal details,0
2230334,Request to not send personal details,0
2490588,Request to not send personal details,0
86212,Request to not send personal details,0
535800,Request to not send personal details,0
436399,Request to not send personal details,0
46565,Request to not send personal details,0
27880,Request to not send personal details,0
5805,Request to not send personal details,0
10659,Request to not send personal details,0
1406114,Request to not send personal details,0
45545,Request to not send personal details,0
232825,Request to not send personal details,1
14300,Request to not send personal details,0
583481,Request to not send personal details,0
436403,Request to not send personal details,0
57474,Request to not send personal details,0
46567,Request to not send personal details,0
422977,Request to not send personal details,0
18685,Request to not send personal details,0
1097366,Request to not send personal details,0
231305,Request to not send personal details,0
1745,Request to not send personal details,0
318645,Request to not send personal details,0
1406115,Request to not send personal details,0
